name	value
kSon	2.828193e+01
kSoff	8.722582e+00
kpR1	2.288588e+03
kdR1f	9.753946e-01
kR1f	3.314178e-05
kR1r	9.084007e+01
kBf	5.634366e+02
kBr	1.726000e-02
kdR1r	1.314078e+01
kdpR1	2.812755e+01
kiR1f	1.480046e-06
kiR1r	2.201878e-01
kpMEK	1.587740e-04
kpERK	1.161078e-06
kdpERK	3.766460e-01
kdpMEK	5.109929e-01
kiBf	1.579755e-13
kiBr	1.564178e+00
knfpR1r	4.116000e-02
knfpBr	5.322688e+00
knfpBR1	3.805618e-13
kEf	1.251011e+04
kEr	2.157247e+01
kdEf	9.793454e-01
kdEr	1.518401e+01
kcatE	6.663433e+00
kdp	5.178373e+01
kRgne	5.754841e+00
Kmgne	7.205058e+04
kRhydro	2.711843e-01
kG2f	6.520470e-01
kG2r	3.333723e+03
kSOSf	5.520185e-05
kSOSr	1.905146e+00
kdpSOS	5.861134e-03
knfpSOS	7.836388e-06
kG2SOSf	2.594363e-01
kG2SOSr	5.887828e+01
knfpiR1r	1.741575e-02
knfpiBr	1.022145e+01
