kBf=2280.15,kBr=0.046709999999999995,kcatE=5.328,kdEf=0.1958,kdEr=83.6,kdp=367.78000000000003,kdpERK=1.6211,kdpMEK=4.317950000000001,kdpR1=28.1,kdpSOS=0.037211,kdR1f=1.9012499999999999,kdR1r=22.27,kEf=116875.0,kEr=3.24,kfpBr=15.960000000000003,kfpR1r=0.10300000000000001,kG2f=3.2600000000000002,kG2r=14485.5,kG2SOSf=0.9842,kG2SOSr=424.08,kiBf=1.2877e-12,kiBr=5.382,kiR1f=1.258e-5,kiR1r=1.2760000000000002,Kmgneslow=216300.0,knfpBR1=3.52425e-12,knfpiBr=14.28,knfpiR1r=0.10787999999999999,knfpSOS=3.332e-5,kpERK=2.2619999999999997e-6,kpMEK=0.00037365,kpR1=4236.5,kR1f=0.00025652499999999996,kR1r=313.26,kRgneslow=4.3125,kRhydro=0.2439,kSoff=48.832,kSon=149.99,kSOSf=0.00048024000000000005,kSOSr=16.426
kBf=3828.3999999999996,kBr=0.028544999999999997,kcatE=18.315,kdEf=2.8880500000000002,kdEr=105.63999999999999,kdp=303.03000000000003,kdpERK=3.77,kdpMEK=0.6132000000000001,kdpR1=18.265,kdpSOS=0.027835,kdR1f=5.1675,kdR1r=72.705,kEf=12500.0,kEr=76.68,kfpBr=44.95400000000001,kfpR1r=0.30900000000000005,kG2f=0.7172000000000001,kG2r=6160.5,kG2SOSf=0.14245,kG2SOSr=482.98,kiBf=4.661000000000001e-13,kiBr=14.664000000000001,kiR1f=1.0360000000000001e-6,kiR1r=0.6930000000000002,Kmgneslow=674135.0,knfpBR1=3.29565e-12,knfpiBr=61.20000000000001,knfpiR1r=0.10962000000000001,knfpSOS=6.703199999999999e-5,kpERK=2.3779999999999995e-6,kpMEK=0.0015263999999999998,kpR1=458.0,kR1f=0.00013074499999999996,kR1r=222.46,kRgneslow=56.6375,kRhydro=2.6016,kSoff=56.24400000000001,kSon=104.71000000000001,kSOSf=0.00032292000000000003,kSOSr=10.504999999999999
kBf=5067.0,kBr=0.137535,kcatE=57.94199999999999,kdEf=9.34945,kdEr=64.6,kdp=486.92,kdpERK=1.82845,kdpMEK=0.8687000000000001,kdpR1=231.82500000000002,kdpSOS=0.020509999999999997,kdR1f=9.555,kdR1r=96.285,kEf=48125.0,kEr=114.48,kfpBr=37.506,kfpR1r=0.34814,kG2f=3.8468000000000004,kG2r=10822.5,kG2SOSf=1.23025,kG2SOSr=509.48499999999996,kiBf=9.954000000000002e-13,kiBr=2.5740000000000003,kiR1f=5.8460000000000004e-6,kiR1r=0.44000000000000006,Kmgneslow=342475.0,knfpBR1=3.2004000000000004e-12,knfpiBr=56.1,knfpiR1r=0.10005,knfpSOS=3.8808e-5,kpERK=7.4239999999999996e-6,kpMEK=0.00073935,kpR1=7328.0,kR1f=0.0002648,kR1r=27.240000000000002,kRgneslow=14.374999999999998,kRhydro=0.1084,kSoff=29.212000000000003,kSon=198.1,kSOSf=0.0004002,kSOSr=16.616999999999997
kBf=2195.7000000000003,kBr=0.06660499999999998,kcatE=53.94599999999999,kdEf=3.96495,kdEr=56.24,kdp=145.04000000000002,kdpERK=2.0735,kdpMEK=3.1171,kdpR1=273.97499999999997,kdpSOS=0.020803,kdR1f=6.4350000000000005,kdR1r=93.665,kEf=80625.0,kEr=98.28,kfpBr=37.772000000000006,kfpR1r=0.36256,kG2f=1.4344000000000001,kG2r=27306.0,kG2SOSf=1.2043499999999998,kG2SOSr=223.82,kiBf=1.2640000000000002e-13,kiBr=9.828000000000001,kiR1f=6.364e-6,kiR1r=1.5400000000000005,Kmgneslow=155015.0,knfpBR1=2.45745e-12,knfpiBr=58.14000000000001,knfpiR1r=0.02871,knfpSOS=7.447999999999999e-5,kpERK=3.4799999999999997e-6,kpMEK=0.000477,kpR1=1030.5,kR1f=0.000170465,kR1r=154.36,kRgneslow=44.275000000000006,kRhydro=2.3848000000000003,kSoff=85.02,kSon=199.51500000000004,kSOSf=2.484e-5,kSOSr=17.2855
kBf=1407.4999999999998,kBr=0.08822999999999999,kcatE=25.641000000000002,kdEf=6.11875,kdEr=29.639999999999997,kdp=121.73000000000002,kdpERK=0.9424999999999999,kdpMEK=2.9127,kdpR1=264.14,kdpSOS=0.039262,kdR1f=5.703749999999999,kdR1r=125.105,kEf=121250.0,kEr=167.4,kfpBr=2.66,kfpR1r=0.04532,kG2f=6.031000000000001,kG2r=6493.5,kG2SOSf=2.4605,kG2SOSr=29.450000000000003,kiBf=2.8440000000000003e-13,kiBr=15.132000000000001,kiR1f=1.998e-6,kiR1r=0.7150000000000002,Kmgneslow=328055.0,knfpBR1=1.143e-13,knfpiBr=88.23,knfpiR1r=0.07134,knfpSOS=7.173599999999999e-5,kpERK=8.526e-6,kpMEK=0.0013514999999999998,kpR1=1603.0,kR1f=0.00018535999999999995,kR1r=717.3199999999999,kRgneslow=11.787499999999998,kRhydro=1.3278999999999999,kSoff=52.75600000000001,kSon=32.545,kSOSf=4.1400000000000003e-5,kSOSr=9.0725
kBf=928.9499999999998,kBr=0.045845,kcatE=33.3,kdEf=6.167700000000001,kdEr=127.67999999999998,kdp=518.0,kdpERK=0.6032,kdpMEK=2.37615,kdpR1=47.77,kdpSOS=0.008497,kdR1f=2.2912500000000002,kdR1r=75.325,kEf=113750.0,kEr=77.76,kfpBr=32.18600000000001,kfpR1r=0.39346000000000003,kG2f=5.9006,kG2r=33133.5,kG2SOSf=1.7482499999999999,kG2SOSr=267.995,kiBf=1.5800000000000003e-12,kiBr=10.842,kiR1f=8.361999999999999e-6,kiR1r=1.6280000000000003,Kmgneslow=699370.0,knfpBR1=2.286e-12,knfpiBr=20.400000000000002,knfpiR1r=0.11136,knfpSOS=6.781599999999999e-5,kpERK=5.683999999999999e-6,kpMEK=0.00061215,kpR1=12022.5,kR1f=9.93e-6,kR1r=267.85999999999996,kRgneslow=38.525,kRhydro=2.4119,kSoff=28.34,kSon=46.695,kSOSf=0.00028152,kSOSr=3.9154999999999993
kBf=2392.75,kBr=0.12196499999999999,kcatE=54.945,kdEf=0.24475000000000002,kdEr=24.319999999999997,kdp=246.05,kdpERK=1.60225,kdpMEK=3.7814,kdpR1=70.25,kdpSOS=0.025197999999999998,kdR1f=2.48625,kdR1r=44.54,kEf=81875.0,kEr=180.35999999999999,kfpBr=20.748,kfpR1r=0.33784000000000003,kG2f=5.6724,kG2r=2830.5,kG2SOSf=2.29215,kG2SOSr=559.5500000000001,kiBf=2.212e-13,kiBr=5.928,kiR1f=6.956000000000001e-6,kiR1r=1.6940000000000002,Kmgneslow=573195.0,knfpBR1=2.00025e-12,knfpiBr=87.21,knfpiR1r=0.14267999999999997,knfpSOS=7.1344e-5,kpERK=4.234e-6,kpMEK=0.0012958499999999999,kpR1=4809.0,kR1f=0.00018039499999999997,kR1r=876.22,kRgneslow=28.749999999999996,kRhydro=0.4607,kSoff=58.424,kSon=117.44500000000001,kSOSf=0.00052164,kSOSr=18.6225
kBf=760.05,kBr=0.10985499999999998,kcatE=59.273999999999994,kdEf=0.63635,kdEr=50.919999999999995,kdp=204.61000000000004,kdpERK=1.52685,kdpMEK=2.0440000000000005,kdpR1=106.78000000000002,kdpSOS=0.003516,kdR1f=1.6087500000000001,kdR1r=51.745,kEf=105000.0,kEr=19.44,kfpBr=26.334000000000003,kfpR1r=0.00824,kG2f=2.934,kG2r=20812.5,kG2SOSf=1.5022,kG2SOSr=203.20500000000004,kiBf=1.4852e-12,kiBr=10.374000000000002,kiR1f=5.254e-6,kiR1r=0.30800000000000005,Kmgneslow=447020.0,knfpBR1=1.2382499999999999e-12,knfpiBr=90.77999999999999,knfpiR1r=0.13485,knfpSOS=6.1544e-5,kpERK=5.741999999999999e-6,kpMEK=0.00062805,kpR1=8129.5,kR1f=8.274999999999999e-5,kR1r=444.91999999999996,kRgneslow=41.6875,kRhydro=0.37940000000000007,kSoff=44.908,kSon=86.31500000000001,kSOSf=0.00046368000000000006,kSOSr=15.7575
kBf=478.55,kBr=0.06314499999999999,kcatE=65.934,kdEf=2.5454000000000003,kdEr=63.839999999999996,kdp=240.87000000000003,kdpERK=2.3751,kdpMEK=4.4201500000000005,kdpR1=186.865,kdpSOS=0.0011719999999999999,kdR1f=3.1200000000000006,kdR1r=40.61,kEf=60625.0,kEr=208.44,kfpBr=30.058000000000007,kfpR1r=0.18334,kG2f=5.2812,kG2r=24642.0,kG2SOSf=0.37555,kG2SOSr=26.505,kiBf=2.528e-13,kiBr=2.418,kiR1f=4.218e-6,kiR1r=1.8260000000000003,Kmgneslow=504700.0,knfpBR1=2.5908e-12,knfpiBr=69.36,knfpiR1r=0.02958,knfpSOS=6.859999999999999e-5,kpERK=1.0033999999999999e-5,kpMEK=0.0003339,kpR1=9732.5,kR1f=0.00011419499999999997,kR1r=540.26,kRgneslow=29.899999999999995,kRhydro=1.0839999999999999,kSoff=28.776,kSon=8.49,kSOSf=0.0003312,kSOSr=1.337
kBf=5489.249999999999,kBr=0.16607999999999998,kcatE=47.286,kdEf=3.7691500000000002,kdEr=76.75999999999999,kdp=336.70000000000005,kdpERK=1.71535,kdpMEK=3.2704000000000004,kdpR1=140.5,kdpSOS=0.018751999999999998,kdR1f=9.262500000000001,kdR1r=100.87,kEf=40000.0,kEr=51.84,kfpBr=48.146000000000015,kfpR1r=0.19982000000000003,kG2f=2.6406,kG2r=14818.5,kG2SOSf=1.5539999999999998,kG2SOSr=11.780000000000001,kiBf=1.5247000000000002e-12,kiBr=6.24,kiR1f=1.3616000000000001e-5,kiR1r=2.1450000000000005,Kmgneslow=389340.0,knfpBR1=5.5245e-13,knfpiBr=41.82000000000001,knfpiR1r=0.16268999999999997,knfpSOS=5.2527999999999996e-5,kpERK=1.1251999999999998e-5,kpMEK=0.00110505,kpR1=12251.5,kR1f=0.00026148999999999996,kR1r=826.2800000000001,kRgneslow=43.9875,kRhydro=2.61515,kSoff=30.084000000000003,kSon=125.935,kSOSf=8.832e-5,kSOSr=10.982500000000002
kBf=2420.9,kBr=0.011245,kcatE=26.973,kdEf=7.29355,kdEr=124.63999999999999,kdp=31.080000000000002,kdpERK=0.8859499999999999,kdpMEK=0.6643,kdpR1=193.89,kdpSOS=0.042192,kdR1f=9.4575,kdR1r=110.695,kEf=96875.0,kEr=62.64,kfpBr=40.16600000000001,kfpR1r=0.3708000000000001,kG2f=0.652,kG2r=5161.5,kG2SOSf=0.8676499999999999,kG2SOSr=176.7,kiBf=1.8960000000000002e-13,kiBr=8.190000000000001,kiR1f=8.954e-6,kiR1r=0.8140000000000002,Kmgneslow=133385.0,knfpBR1=3.1242e-12,knfpiBr=91.80000000000001,knfpiR1r=0.08091,knfpSOS=2.9007999999999997e-5,kpERK=1.914e-6,kpMEK=0.0013356,kpR1=20610.0,kR1f=0.00022673499999999994,kR1r=531.18,kRgneslow=39.3875,kRhydro=0.50135,kSoff=80.66000000000001,kSon=111.785,kSOSf=0.00012696,kSOSr=10.696
